"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"2961"	"2961"	"0.000"	"144.467"	"48"	"16"	"36"	"16"	"1"	"505"	"55.2"	"5.20"	"159.23"	"16"	"0"	"40333929.0429688"	"137014814.125"	"7774356.65820313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"819"	"819"	"0.000"	"144.016"	"55"	"19"	"44"	"19"	"1"	"543"	"59.8"	"5.64"	"163.03"	"19"	"0"	"55983148.2890625"	"141483230.3125"	"18516788.1650391"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"377"	"377"	"0.000"	"143.866"	"56"	"16"	"43"	"16"	"1"	"402"	"43.3"	"5.58"	"171.86"	"16"	"0"	"111076210.46875"	"238121871.03125"	"10327346.453125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3299"	"3299"	"0.000"	"143.842"	"51"	"12"	"39"	"12"	"1"	"231"	"24.3"	"9.36"	"173.03"	"12"	"0"	"200361854.807983"	"550412871.8125"	"21087297.0097656"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1526"	"1526"	"0.000"	"143.801"	"60"	"14"	"30"	"14"	"1"	"321"	"34.6"	"5.22"	"155.87"	"14"	"0"	"43999543.875"	"98123835.71875"	"3378655.84375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"678"	"678"	"0.000"	"142.900"	"64"	"12"	"41"	"12"	"1"	"244"	"27.7"	"5.87"	"162.46"	"12"	"0"	"86216746.4658203"	"159522399.46875"	"15659082.40625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3014"	"3014"	"0.000"	"141.564"	"39"	"15"	"39"	"15"	"1"	"607"	"66.1"	"5.02"	"157.11"	"15"	"0"	"87162842.8125"	"217120662.875"	"9839275.8984375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"447"	"447"	"0.000"	"141.351"	"44"	"14"	"50"	"14"	"1"	"432"	"47.0"	"5.58"	"180.56"	"14"	"0"	"63635883.484375"	"160853064.435547"	"10207673.2709961"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3675"	"3675"	"0.000"	"140.854"	"33"	"14"	"40"	"14"	"1"	"552"	"61.9"	"5.11"	"153.06"	"14"	"0"	"30907496.8710938"	"80602786.0625"	"17946880.0527344"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"156"	"156"	"0.000"	"140.765"	"50"	"12"	"31"	"12"	"1"	"416"	"45.4"	"5.50"	"152.27"	"12"	"0"	"40387645.59375"	"77180095.6875"	"2926404.75"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1420"	"1420"	"0.000"	"140.387"	"51"	"14"	"38"	"14"	"1"	"401"	"45.4"	"4.87"	"172.10"	"14"	"0"	"17279250.1806641"	"43670966.640625"	"10854834.6054688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"815"	"815"	"0.000"	"140.024"	"57"	"20"	"39"	"20"	"1"	"365"	"39.5"	"4.77"	"156.10"	"20"	"0"	"70944045.6933594"	"200029216.0625"	"6245738.5234375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"375"	"375"	"0.000"	"138.963"	"40"	"13"	"33"	"13"	"1"	"489"	"52.5"	"5.60"	"164.07"	"13"	"0"	"53386184.5439453"	"107583035.375"	"1407754.9296875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"426"	"426"	"0.000"	"138.712"	"57"	"11"	"34"	"11"	"1"	"315"	"34.6"	"5.33"	"155.97"	"11"	"0"	"59316682.7060547"	"129033500"	"15897021.625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1083"	"1083"	"0.000"	"138.565"	"45"	"21"	"39"	"21"	"1"	"640"	"73.9"	"5.47"	"143.95"	"21"	"0"	"27819479.5703125"	"60674573.6484375"	"6754447.7734375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3220"	"3220"	"0.000"	"138.199"	"44"	"18"	"51"	"18"	"1"	"514"	"56.5"	"6.48"	"171.56"	"18"	"0"	"67835559.765625"	"178574602.65625"	"34260689.109375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3525"	"3525"	"0.000"	"137.968"	"43"	"12"	"30"	"12"	"1"	"521"	"57.5"	"5.07"	"133.72"	"12"	"0"	"11939671.4980469"	"33412989.1875"	"2408681.32910156"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1234"	"1234"	"0.000"	"137.879"	"59"	"20"	"44"	"20"	"1"	"447"	"50.3"	"6.19"	"154.92"	"20"	"0"	"46555879.9555664"	"150826004.78125"	"17537585.8125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1167"	"1167"	"0.000"	"137.650"	"59"	"14"	"34"	"14"	"1"	"393"	"43.5"	"5.81"	"145.54"	"14"	"0"	"32972722.21875"	"87437078.84375"	"7376991.0625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3088"	"3088"	"0.000"	"137.242"	"73"	"21"	"39"	"21"	"1"	"392"	"43.3"	"5.19"	"135.20"	"21"	"0"	"46717352.3962402"	"109343763.671875"	"15559264.578125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"977"	"977"	"0.000"	"137.156"	"26"	"13"	"34"	"13"	"1"	"745"	"79.3"	"4.75"	"140.66"	"13"	"0"	"13436457.9707031"	"32093751.9453125"	"1451368.64648438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"334"	"334"	"0.000"	"136.780"	"61"	"17"	"61"	"17"	"1"	"274"	"29.8"	"11.08"	"169.13"	"17"	"0"	"146829541.806396"	"707927315.688965"	"71993693.5195313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1072"	"1072"	"0.000"	"136.560"	"32"	"20"	"32"	"20"	"1"	"965"	"107.8"	"5.05"	"120.20"	"20"	"0"	"17994499.78125"	"29974283.3125"	"7306005.50390625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"842"	"842"	"0.000"	"136.231"	"83"	"14"	"30"	"14"	"1"	"340"	"37.2"	"5.39"	"153.84"	"14"	"0"	"46791118.453125"	"113219528.078125"	"5556753.5625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3160"	"3160"	"0.000"	"135.805"	"54"	"20"	"45"	"20"	"1"	"513"	"58.3"	"6.55"	"161.25"	"20"	"0"	"46080998.8125"	"93760900.03125"	"5940554.71875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1314"	"1314"	"0.000"	"135.712"	"44"	"13"	"41"	"13"	"1"	"477"	"53.3"	"5.22"	"175.71"	"13"	"0"	"44250364.359375"	"99747574.65625"	"1452873.99511719"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1126"	"1126"	"0.000"	"135.659"	"49"	"23"	"54"	"22"	"1"	"617"	"70.9"	"5.17"	"175.01"	"23"	"0"	"28901206.6035156"	"91024610.09375"	"12508821.28125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"394"	"394"	"0.000"	"135.495"	"27"	"16"	"34"	"16"	"1"	"887"	"99.2"	"5.74"	"144.72"	"16"	"0"	"18625447.0117188"	"34217057.34375"	"4680537.55078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"406"	"406"	"0.000"	"135.360"	"43"	"11"	"30"	"11"	"1"	"303"	"32.7"	"5.07"	"117.21"	"11"	"0"	"83903480.390625"	"191694369.875"	"2117431.3828125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2333"	"2333"	"0.000"	"134.904"	"63"	"11"	"30"	"11"	"1"	"254"	"29.1"	"6.95"	"130.86"	"11"	"0"	"21983225.5571289"	"58809989.875"	"6475650.5"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3440"	"3440"	"0.000"	"134.884"	"61"	"16"	"29"	"16"	"1"	"452"	"48.0"	"5.94"	"130.18"	"16"	"0"	"18646227.40625"	"33066241.03125"	"2825808.1640625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2350"	"2350"	"0.000"	"134.408"	"89"	"11"	"73"	"11"	"1"	"157"	"16.6"	"5.05"	"227.15"	"11"	"0"	"121283075.925781"	"252103094.46875"	"54135804.3662109"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1325"	"1325"	"0.000"	"134.147"	"61"	"16"	"36"	"16"	"1"	"363"	"39.9"	"4.92"	"150.26"	"16"	"0"	"26100200.6328125"	"98006288.1875"	"8220085.0078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"6"	"6"	"0.000"	"133.760"	"60"	"11"	"33"	"11"	"1"	"301"	"34.5"	"5.05"	"148.48"	"11"	"0"	"48802115.5722656"	"115859589.65625"	"6915575.4296875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2525"	"2525"	"0.000"	"133.507"	"58"	"15"	"39"	"15"	"1"	"338"	"37.7"	"5.76"	"142.56"	"15"	"0"	"23998080.3398438"	"57686815.1171875"	"3669888.7421875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"594"	"594"	"0.000"	"133.468"	"40"	"13"	"30"	"11"	"1"	"539"	"58.1"	"4.83"	"141.06"	"13"	"1"	"21817833.0625"	"44745323.03125"	"5272167.71875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1806"	"1806"	"0.000"	"133.311"	"48"	"22"	"33"	"22"	"1"	"680"	"75.9"	"5.03"	"129.85"	"22"	"0"	"20780176.6542969"	"47343903.5"	"6121522.9375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"404"	"404"	"0.000"	"132.042"	"55"	"15"	"43"	"15"	"1"	"460"	"50.5"	"5.08"	"123.17"	"15"	"0"	"49191707.0219727"	"135796615.398438"	"6334701.328125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1006"	"1006"	"0.000"	"131.550"	"50"	"15"	"27"	"15"	"1"	"586"	"66.1"	"5.25"	"117.32"	"15"	"0"	"21246874.0703125"	"59028860.203125"	"6535302.75"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3610"	"3610"	"0.000"	"131.296"	"43"	"14"	"33"	"14"	"1"	"616"	"65.7"	"5.38"	"167.38"	"14"	"0"	"56754648.125"	"128941180.375"	"2888375.734375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1915"	"1915"	"0.000"	"131.272"	"55"	"17"	"45"	"17"	"1"	"361"	"39.4"	"5.67"	"171.16"	"17"	"0"	"89096480.40625"	"176178033.8125"	"7024797.31445313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"607"	"607"	"0.000"	"131.117"	"54"	"10"	"38"	"10"	"1"	"278"	"30.4"	"5.22"	"158.03"	"10"	"0"	"54241462.40625"	"107218196.8125"	"5056425.42773438"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3236"	"3236"	"0.000"	"130.283"	"51"	"16"	"30"	"16"	"1"	"411"	"44.5"	"5.21"	"138.14"	"16"	"0"	"38096289.328125"	"81019887.3125"	"4890278.85742188"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3174"	"3174"	"0.000"	"129.940"	"67"	"9"	"44"	"9"	"1"	"166"	"17.5"	"9.94"	"163.03"	"9"	"0"	"157833234.099609"	"484129817.5"	"36083322.8359375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2299"	"2299"	"0.000"	"128.945"	"51"	"22"	"38"	"22"	"1"	"640"	"72.2"	"5.05"	"137.13"	"22"	"0"	"43263994.3222656"	"142276502.296875"	"6536861.125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"99"	"99"	"0.000"	"128.933"	"50"	"13"	"35"	"13"	"1"	"390"	"42.8"	"4.79"	"166.78"	"13"	"0"	"68234770.25"	"151540013"	"12377189.3125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"679"	"679"	"0.000"	"128.929"	"62"	"11"	"36"	"11"	"1"	"210"	"23.9"	"5.17"	"142.78"	"11"	"0"	"87785023.4052734"	"229549696.21875"	"7532739.55078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1562"	"1562"	"0.000"	"128.742"	"38"	"17"	"36"	"17"	"1"	"498"	"55.4"	"4.48"	"127.67"	"17"	"0"	"17400382.78125"	"75229291.671875"	"14245902.4804688"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2088"	"2088"	"0.000"	"128.612"	"21"	"13"	"26"	"13"	"1"	"1218"	"137.0"	"5.01"	"97.73"	"13"	"0"	"6184491.13671875"	"13866546.1796875"	"292578.287109375"	"High"	"High"	"Peak Found"	""
"False"	"High"	"IsMasterProtein"	"1331"	"1331"	"0.000"	"128.384"	"65"	"16"	"39"	"16"	"1"	"315"	"34.4"	"6.01"	"151.62"	"16"	"0"	"71846719.578125"	"178391510"	"35241180.0859375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2841"	"2841"	"0.000"	"127.926"	"53"	"13"	"33"	"13"	"1"	"399"	"44.8"	"5.50"	"140.66"	"13"	"0"	"37303436.5371094"	"93735417.40625"	"2764495.83203125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1997"	"1997"	"0.000"	"127.856"	"35"	"17"	"32"	"17"	"1"	"831"	"93.7"	"5.16"	"133.62"	"17"	"0"	"24639543.0019531"	"67624605.71875"	"4925022.09765625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3219"	"3219"	"0.000"	"127.086"	"26"	"20"	"31"	"20"	"1"	"1111"	"124.0"	"5.66"	"94.38"	"20"	"0"	"6351972.36083984"	"20152419.1875"	"15575214.9335938"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2118"	"2118"	"0.000"	"127.083"	"56"	"14"	"34"	"14"	"1"	"379"	"42.7"	"4.83"	"123.24"	"14"	"0"	"41018098.75"	"116976446.96875"	"5025653.22265625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2691"	"2691"	"0.000"	"126.896"	"36"	"17"	"36"	"17"	"1"	"671"	"70.5"	"4.74"	"130.84"	"17"	"0"	"51536327.1113281"	"103966116.375"	"24501172.578125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1619"	"1619"	"0.000"	"126.512"	"36"	"18"	"33"	"18"	"1"	"758"	"83.4"	"5.55"	"139.35"	"18"	"0"	"14939643.0625"	"45917327.84375"	"4331154.30078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"638"	"638"	"0.000"	"125.969"	"56"	"15"	"36"	"15"	"1"	"449"	"49.2"	"5.11"	"139.00"	"15"	"0"	"37346957.921875"	"81080690.9375"	"12225530.2734375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1528"	"1528"	"0.000"	"125.621"	"59"	"7"	"28"	"7"	"1"	"246"	"25.7"	"5.47"	"165.58"	"7"	"0"	"76817678"	"176809523.25"	"6839307.63671875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2126"	"2126"	"0.000"	"125.246"	"66"	"12"	"27"	"12"	"1"	"331"	"35.2"	"5.24"	"141.10"	"12"	"0"	"61300256.75"	"128296124.25"	"6642233.3125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"587"	"587"	"0.000"	"124.509"	"63"	"14"	"41"	"14"	"1"	"394"	"44.0"	"5.41"	"154.10"	"14"	"0"	"81218838.9628906"	"242322845.140625"	"10937740.359375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1820"	"1820"	"0.000"	"123.951"	"30"	"9"	"22"	"9"	"1"	"585"	"64.4"	"4.36"	"132.16"	"9"	"0"	"32537487.1992188"	"53279719.25"	"657808.03125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3343"	"3343"	"0.000"	"123.611"	"45"	"17"	"30"	"17"	"1"	"383"	"43.1"	"4.89"	"125.73"	"17"	"0"	"53623028.53125"	"124227212"	"27802834.453125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1019"	"1019"	"0.000"	"122.994"	"32"	"20"	"29"	"20"	"1"	"981"	"108.6"	"4.37"	"105.37"	"20"	"0"	"17157881"	"34903771.203125"	"9341041.96875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"873"	"873"	"0.000"	"122.674"	"32"	"16"	"32"	"16"	"1"	"883"	"101.0"	"6.47"	"126.82"	"16"	"0"	"23296909.03125"	"54918491.28125"	"4247061.22460938"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1051"	"1051"	"0.000"	"122.287"	"46"	"17"	"34"	"17"	"1"	"576"	"64.1"	"5.19"	"127.67"	"17"	"0"	"39360810.765625"	"89716771.71875"	"4371612.140625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2288"	"2288"	"0.000"	"122.171"	"58"	"7"	"22"	"7"	"1"	"245"	"26.7"	"5.14"	"119.22"	"7"	"0"	"33220644.625"	"74365095"	"3404005.15625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3188"	"3188"	"0.000"	"121.696"	"40"	"19"	"39"	"19"	"1"	"572"	"63.9"	"5.58"	"113.61"	"19"	"0"	"62402599.7412109"	"162970776.640625"	"36893943.984375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2014"	"2014"	"0.000"	"120.899"	"29"	"12"	"26"	"12"	"1"	"720"	"79.6"	"4.96"	"125.32"	"12"	"0"	"9347856.046875"	"15948740.3125"	"4435898.98046875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1339"	"1339"	"0.000"	"120.848"	"65"	"11"	"31"	"11"	"1"	"284"	"30.9"	"5.62"	"113.66"	"11"	"0"	"55351935.0488281"	"121289652.03125"	"2946587.51953125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"623"	"623"	"0.000"	"119.765"	"48"	"17"	"34"	"17"	"1"	"449"	"51.0"	"5.17"	"107.30"	"17"	"0"	"25335389.8452148"	"69127920.84375"	"20267253.3203125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1944"	"1944"	"0.000"	"119.469"	"76"	"12"	"46"	"12"	"1"	"211"	"23.4"	"4.92"	"173.92"	"12"	"0"	"100399792.023438"	"254620738.859375"	"10162530.21875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2500"	"2500"	"0.000"	"119.398"	"63"	"16"	"36"	"16"	"1"	"258"	"28.1"	"7.30"	"112.74"	"16"	"0"	"125981439.234375"	"254336551.6875"	"5855400.75"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3309"	"3309"	"0.000"	"119.273"	"55"	"10"	"28"	"10"	"1"	"348"	"38.4"	"6.10"	"139.61"	"10"	"0"	"38531666.515625"	"112498322.6875"	"490754.8125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2015"	"2015"	"0.000"	"118.942"	"28"	"17"	"27"	"17"	"1"	"1044"	"114.8"	"5.00"	"107.11"	"17"	"0"	"5671982.23339844"	"17837758.03125"	"1877013.79296875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1718"	"1718"	"0.000"	"118.582"	"42"	"17"	"29"	"17"	"1"	"486"	"52.9"	"5.11"	"104.91"	"17"	"0"	"25476857.1875"	"64378954.375"	"6235277.09375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1001"	"1001"	"0.000"	"117.291"	"41"	"16"	"34"	"16"	"1"	"606"	"65.8"	"5.00"	"132.50"	"16"	"0"	"20244783.8125"	"54400476.5"	"4236723.66796875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"748"	"748"	"0.000"	"116.349"	"50"	"12"	"33"	"12"	"1"	"302"	"34.0"	"6.52"	"141.95"	"12"	"0"	"152541303"	"278325905.75"	"6199589.078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"325"	"325"	"0.000"	"116.146"	"58"	"12"	"35"	"12"	"1"	"333"	"36.2"	"5.64"	"137.94"	"12"	"0"	"66583449.2773438"	"249113104.9375"	"10445173.0043945"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3404"	"3404"	"0.000"	"115.677"	"79"	"12"	"34"	"12"	"1"	"265"	"28.5"	"4.86"	"131.83"	"12"	"0"	"26755531.5"	"50380817.5"	"6256851.875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2710"	"2710"	"0.000"	"115.583"	"53"	"13"	"33"	"13"	"1"	"409"	"44.4"	"5.03"	"138.98"	"13"	"0"	"20015317.15625"	"52538330.6953125"	"6962983.1640625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1133"	"1133"	"0.000"	"115.104"	"59"	"15"	"31"	"15"	"1"	"436"	"46.8"	"7.24"	"114.87"	"15"	"0"	"25634784.5996094"	"88438888.8125"	"15817165"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3557"	"3557"	"0.000"	"114.608"	"33"	"19"	"31"	"19"	"1"	"782"	"85.1"	"6.43"	"102.46"	"19"	"0"	"19491168.828125"	"55974032.28125"	"2576703.56835938"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2817"	"2817"	"0.000"	"114.351"	"44"	"12"	"29"	"12"	"1"	"374"	"41.7"	"5.90"	"104.80"	"12"	"0"	"22421067.8046875"	"67130078.4921875"	"2202267.67382813"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"332"	"332"	"0.000"	"114.322"	"63"	"11"	"43"	"11"	"1"	"201"	"22.0"	"9.50"	"160.44"	"11"	"0"	"777812911.046875"	"1258482845.80176"	"37050381.2558594"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"877"	"877"	"0.000"	"114.283"	"50"	"6"	"31"	"6"	"1"	"245"	"26.5"	"6.24"	"111.56"	"6"	"0"	"55043857.5625"	"97058062.21875"	"3847465.5078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"612"	"612"	"0.000"	"114.258"	"77"	"14"	"27"	"14"	"1"	"229"	"26.2"	"5.68"	"79.67"	"14"	"0"	"13751949.1152344"	"45657707.484375"	"20153029.3046875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2744"	"2744"	"0.000"	"113.972"	"66"	"13"	"32"	"13"	"1"	"317"	"35.1"	"5.60"	"137.44"	"13"	"0"	"44501239.6191406"	"96043760.375"	"3278713.125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1868"	"1868"	"0.000"	"113.857"	"36"	"18"	"30"	"18"	"1"	"660"	"74.0"	"5.38"	"109.99"	"18"	"0"	"12410734.3222656"	"43300737.1875"	"6291700.71875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2261"	"2261"	"0.000"	"113.813"	"47"	"17"	"29"	"17"	"1"	"550"	"60.8"	"5.39"	"102.41"	"17"	"0"	"22777954.125"	"46532096.78125"	"5311293.9140625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"985"	"985"	"0.000"	"113.258"	"31"	"17"	"31"	"17"	"1"	"874"	"97.0"	"5.05"	"119.06"	"17"	"0"	"15113943.4414063"	"30225729.5625"	"1825205.19140625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2722"	"2722"	"0.000"	"112.892"	"52"	"11"	"21"	"11"	"1"	"313"	"34.6"	"7.03"	"96.30"	"11"	"0"	"18067999.6875"	"57011987.171875"	"1135707.90234375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2215"	"2215"	"0.000"	"112.631"	"63"	"10"	"22"	"10"	"1"	"338"	"37.0"	"4.81"	"108.67"	"10"	"0"	"23404287.2734375"	"57697396.34375"	"1431031.7890625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2457"	"2457"	"0.000"	"112.460"	"27"	"15"	"29"	"15"	"1"	"630"	"69.2"	"4.35"	"120.82"	"15"	"0"	"18143218.7851563"	"38895862.4375"	"16279350.421875"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3206"	"3206"	"0.000"	"111.024"	"50"	"17"	"37"	"17"	"1"	"542"	"62.3"	"8.85"	"120.89"	"17"	"0"	"26901633.5996094"	"59156534.9101563"	"2567603.6484375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1939"	"1939"	"0.000"	"110.431"	"41"	"9"	"39"	"9"	"1"	"346"	"37.0"	"4.82"	"145.23"	"9"	"0"	"26281186.1152344"	"65450578.4375"	"7263327.23828125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3384"	"3384"	"0.000"	"110.428"	"66"	"14"	"66"	"14"	"1"	"224"	"24.0"	"8.87"	"160.71"	"14"	"0"	"190839799.734375"	"554372164.71875"	"36807293.359375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2490"	"2490"	"0.000"	"110.394"	"60"	"12"	"20"	"12"	"1"	"405"	"43.6"	"5.54"	"116.59"	"12"	"0"	"33718143.25"	"62136115.75"	"485934.723632813"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1870"	"1870"	"0.000"	"109.975"	"36"	"15"	"25"	"15"	"1"	"681"	"77.3"	"5.47"	"107.69"	"15"	"0"	"12799332.015625"	"22132352.609375"	"1134815.91015625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"712"	"712"	"0.000"	"109.936"	"24"	"12"	"25"	"12"	"1"	"860"	"96.7"	"5.38"	"113.31"	"12"	"0"	"12056607.984375"	"21608363.15625"	"1724769.22460938"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3476"	"3476"	"0.000"	"109.654"	"35"	"14"	"29"	"14"	"1"	"608"	"69.1"	"4.88"	"100.63"	"14"	"0"	"7254011.13476563"	"14886888.4375"	"2640389.47070313"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"81"	"81"	"0.000"	"109.430"	"47"	"9"	"23"	"9"	"1"	"354"	"37.8"	"5.50"	"84.39"	"9"	"0"	"12494370.1601563"	"39704886.328125"	"2701146.96582031"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3342"	"3342"	"0.000"	"109.385"	"61"	"17"	"41"	"17"	"1"	"293"	"32.8"	"6.84"	"142.77"	"17"	"0"	"66224566.0107422"	"156311530.5"	"25468725.0078125"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3511"	"3511"	"0.000"	"108.611"	"56"	"12"	"33"	"12"	"1"	"271"	"29.8"	"5.57"	"122.55"	"12"	"0"	"48336182.5458984"	"152483261.53125"	"8581211.078125"	"High"	"High"	"High"	""
